,id,country,name
250,1415,cyprus,first-division-2017-2018
251,1420,cyprus,first-division-2018-2019
252,1424,cyprus,first-division-2019-2020
253,1427,cyprus,first-division-2020-2021
254,1433,cyprus,first-division-2021-2022
255,1482,czech-republic,1-liga-2016-2017
256,1487,czech-republic,1-liga-2017-2018
257,1492,czech-republic,1-liga-2018-2019
258,1498,czech-republic,1-liga-2019-2020
259,1504,czech-republic,1-liga-2020-2021
260,1511,czech-republic,1-liga-2021-2022
261,1517,czech-republic,division-2-2016-2017
262,1522,czech-republic,division-2-2017-2018
263,1527,czech-republic,division-2-2018-2019
264,1532,czech-republic,division-2-2019-2020
265,1537,czech-republic,division-2-2020-2021
266,1541,czech-republic,division-2-2021-2022
267,1437,czech-republic,gambrinus-liga-2007-2008
268,1442,czech-republic,gambrinus-liga-2008-2009
269,1447,czech-republic,gambrinus-liga-2009-2010
270,1452,czech-republic,gambrinus-liga-2010-2011
271,1457,czech-republic,gambrinus-liga-2011-2012
272,1462,czech-republic,gambrinus-liga-2012-2013
273,1467,czech-republic,gambrinus-liga-2013-2014
274,1546,czech-republic,msfl-2017-2018
275,1551,czech-republic,msfl-2018-2019
276,1556,czech-republic,msfl-2019-2020
277,1560,czech-republic,msfl-2020-2021
278,1472,czech-republic,synot-liga-2014-2015
279,1477,czech-republic,synot-liga-2015-2016
280,1641,denmark,1st-division-2009-2010
281,1650,denmark,1st-division-2010-2011
282,1646,denmark,1st-division-2011-2012
283,1655,denmark,1st-division-2012-2013
284,1671,denmark,1st-division-2016-2017
285,1676,denmark,1st-division-2017-2018
286,1686,denmark,1st-division-2018-2019
287,1691,denmark,1st-division-2019-2020
288,1695,denmark,1st-division-2020-2021
289,1699,denmark,1st-division-2021-2022
290,2890,denmark,2nd-division-2021-2022
291,2847,denmark,2nd-division-group-1-2017-2018
292,2852,denmark,2nd-division-group-1-2018-2019
293,2858,denmark,2nd-division-group-1-2019-2020
294,2862,denmark,2nd-division-group-1-2020-2021
295,2866,denmark,2nd-division-group-2-2017-2018
296,2871,denmark,2nd-division-group-2-2018-2019
297,2877,denmark,2nd-division-group-2-2019-2020
298,2879,denmark,2nd-division-group-2-2020-2021
299,2885,denmark,2nd-division-group-3-2017-2018
300,1667,denmark,bet25-liga-2015-2016
301,1659,denmark,nordicbet-ligaen-2013-2014
302,1663,denmark,nordicbet-ligaen-2014-2015
303,1562,denmark,superliga-2007-2008
304,1566,denmark,superliga-2008-2009
305,1582,denmark,superliga-2009-2010
306,1586,denmark,superliga-2010-2011
307,1590,denmark,superliga-2011-2012
308,1594,denmark,superliga-2012-2013
309,1598,denmark,superliga-2013-2014
310,1602,denmark,superliga-2014-2015
311,1606,denmark,superliga-2015-2016
312,1610,denmark,superliga-2016-2017
313,1613,denmark,superliga-2017-2018
314,1619,denmark,superliga-2018-2019
315,1625,denmark,superliga-2019-2020
316,1630,denmark,superliga-2020-2021
317,1634,denmark,superliga-2021-2022
318,1742,ecuador,liga-pro-2019
319,1751,ecuador,liga-pro-2020
320,1756,ecuador,liga-pro-2021
321,1703,ecuador,serie-a-2012
322,1709,ecuador,serie-a-2013
323,1715,ecuador,serie-a-2014
324,1717,ecuador,serie-a-2015
325,1726,ecuador,serie-a-2016
326,1733,ecuador,serie-a-2017
327,1739,ecuador,serie-a-2018
328,1761,egypt,premier-league-2015-2016
329,1766,egypt,premier-league-2016-2017
330,1775,egypt,premier-league-2017-2018
331,1782,egypt,premier-league-2018-2019
332,1789,egypt,premier-league-2019-2020
333,1793,egypt,premier-league-2020-2021
334,1800,egypt,premier-league-2021-2022
335,1808,el-salvador,primera-division-2017-2018
336,1814,el-salvador,primera-division-2018-2019
337,1820,el-salvador,primera-division-2019-2020
338,1825,el-salvador,primera-division-2020-2021
339,1830,el-salvador,primera-division-2021-2022
340,2539,england,blue-square-bet-premier-2011-2012
341,2550,england,blue-square-bet-premier-2012-2013
342,1956,england,championship-2007-2008
343,1968,england,championship-2008-2009
344,1980,england,championship-2009-2010
345,1994,england,championship-2010-2011
346,1999,england,championship-2011-2012
347,2024,england,championship-2012-2013
348,2049,england,championship-2013-2014
349,2057,england,championship-2014-2015
350,2069,england,championship-2015-2016
351,2081,england,championship-2016-2017
352,2092,england,championship-2017-2018
353,2120,england,championship-2018-2019
354,2133,england,championship-2019-2020
355,2146,england,championship-2020-2021
356,2161,england,championship-2021-2022
357,2184,england,league-one-2007-2008
358,2189,england,league-one-2008-2009
359,2207,england,league-one-2009-2010
360,2219,england,league-one-2010-2011
361,2232,england,league-one-2011-2012
362,2237,england,league-one-2012-2013
363,2241,england,league-one-2013-2014
364,2254,england,league-one-2014-2015
365,2266,england,league-one-2015-2016
366,2278,england,league-one-2016-2017
367,2302,england,league-one-2017-2018
368,2318,england,league-one-2018-2019
369,2330,england,league-one-2019-2020
370,2339,england,league-one-2020-2021
371,2355,england,league-one-2021-2022
372,2385,england,league-two-2009-2010
373,2373,england,league-two-2010-2011
374,2397,england,league-two-2011-2012
375,2407,england,league-two-2012-2013
376,2428,england,league-two-2013-2014
377,2445,england,league-two-2014-2015
378,2457,england,league-two-2015-2016
379,2469,england,league-two-2016-2017
380,2481,england,league-two-2017-2018
381,2493,england,league-two-2018-2019
382,2505,england,league-two-2019-2020
383,2515,england,league-two-2020-2021
384,2527,england,league-two-2021-2022
385,2586,england,national-league-2015-2016
386,2598,england,national-league-2016-2017
387,2601,england,national-league-2017-2018
388,2620,england,national-league-2018-2019
389,2624,england,national-league-2019-2020
390,2636,england,national-league-2020-2021
391,2654,england,national-league-2021-2022
392,1836,england,premier-league-2007-2008
393,1844,england,premier-league-2008-2009
394,1852,england,premier-league-2009-2010
395,1860,england,premier-league-2010-2011
396,1868,england,premier-league-2011-2012
397,1873,england,premier-league-2012-2013
398,1882,england,premier-league-2013-2014
399,1890,england,premier-league-2014-2015
400,1899,england,premier-league-2015-2016
401,1908,england,premier-league-2016-2017
402,1915,england,premier-league-2017-2018
403,1923,england,premier-league-2018-2019
404,1931,england,premier-league-2019-2020
405,1947,england,premier-league-2020-2021
406,1939,england,premier-league-2021-2022
407,2562,england,the-skrill-premier-2013-2014
408,2574,england,vanarama-conference-2014-2015
409,2665,estonia,meistriliiga-2016
410,2669,estonia,meistriliiga-2017
411,2673,estonia,meistriliiga-2018
412,2677,estonia,meistriliiga-2019
413,2681,estonia,meistriliiga-2020
414,2685,estonia,meistriliiga-2021
415,2689,estonia,meistriliiga-2022
416,2691,faroe-islands,premier-league-2020
417,2694,faroe-islands,premier-league-2021
418,2696,faroe-islands,premier-league-2022
419,2787,finland,kakkonen-group-a-2016
420,2790,finland,kakkonen-group-a-2017
421,2793,finland,kakkonen-group-a-2018
422,2796,finland,kakkonen-group-a-2019
423,2799,finland,kakkonen-group-a-2020
424,2801,finland,kakkonen-group-a-2021
425,2805,finland,kakkonen-group-a-2022
426,2807,finland,kakkonen-group-b-2016
427,2810,finland,kakkonen-group-b-2017
428,2813,finland,kakkonen-group-b-2018
429,2816,finland,kakkonen-group-b-2019
430,2819,finland,kakkonen-group-b-2020
431,2822,finland,kakkonen-group-b-2021
432,2825,finland,kakkonen-group-b-2022
433,2827,finland,kakkonen-group-c-2016
434,2841,finland,kakkonen-group-c-2017
435,2835,finland,kakkonen-group-c-2018
436,2830,finland,kakkonen-group-c-2019
437,2833,finland,kakkonen-group-c-2020
438,2838,finland,kakkonen-group-c-2021
439,2845,finland,kakkonen-group-c-2022
440,2698,finland,veikkausliiga-2008
441,2702,finland,veikkausliiga-2009
442,2704,finland,veikkausliiga-2010
443,2710,finland,veikkausliiga-2011
444,2714,finland,veikkausliiga-2012
445,2718,finland,veikkausliiga-2013
446,2722,finland,veikkausliiga-2014
447,2726,finland,veikkausliiga-2015
448,2730,finland,veikkausliiga-2016
449,2733,finland,veikkausliiga-2017
450,2737,finland,veikkausliiga-2018
451,2741,finland,veikkausliiga-2019
452,2746,finland,veikkausliiga-2020
453,2749,finland,veikkausliiga-2021
454,2751,finland,veikkausliiga-2022
455,2755,finland,ykkonen-2012
456,2757,finland,ykkonen-2013
457,2760,finland,ykkonen-2014
458,2763,finland,ykkonen-2015
459,2764,finland,ykkonen-2016
460,2767,finland,ykkonen-2017
461,2775,finland,ykkonen-2018
462,2771,finland,ykkonen-2019
463,2773,finland,ykkonen-2020
464,2779,finland,ykkonen-2021
465,2784,finland,ykkonen-2022
466,2894,france,ligue-1-2007-2008
467,2899,france,ligue-1-2008-2009
468,2912,france,ligue-1-2009-2010
469,2910,france,ligue-1-2010-2011
470,2914,france,ligue-1-2011-2012
471,2924,france,ligue-1-2012-2013
472,2936,france,ligue-1-2013-2014
473,2938,france,ligue-1-2014-2015
474,2939,france,ligue-1-2015-2016
475,2946,france,ligue-1-2016-2017
476,2958,france,ligue-1-2017-2018
477,2955,france,ligue-1-2018-2019
478,2991,france,ligue-1-2019-2020
479,3006,france,ligue-1-2020-2021
480,2998,france,ligue-1-2021-2022
481,3015,france,ligue-2-2007-2008
482,3094,france,ligue-2-2008-2009
483,3067,france,ligue-2-2009-2010
484,3018,france,ligue-2-2010-2011
485,3019,france,ligue-2-2011-2012
486,3024,france,ligue-2-2012-2013
487,3029,france,ligue-2-2013-2014
488,3038,france,ligue-2-2014-2015
489,3073,france,ligue-2-2015-2016
490,3048,france,ligue-2-2016-2017
491,3052,france,ligue-2-2017-2018
492,3122,france,ligue-2-2018-2019
493,3055,france,ligue-2-2019-2020
494,3068,france,ligue-2-2020-2021
495,3095,france,ligue-2-2021-2022
496,3133,france,national-2010-2011
497,3153,france,national-2011-2012
498,3138,france,national-2012-2013
499,3144,france,national-2013-2014
500,3167,france,national-2014-2015
501,3194,france,national-2015-2016
502,3173,france,national-2016-2017
503,3156,france,national-2017-2018
504,3170,france,national-2018-2019
505,3175,france,national-2019-2020
506,3178,france,national-2020-2021
507,3231,georgia,crystalbet-erovnuli-liga-2020
508,3233,georgia,crystalbet-erovnuli-liga-2021
509,3237,georgia,crystalbet-erovnuli-liga-2022
510,3223,georgia,erovnuli-liga-2018
511,3227,georgia,erovnuli-liga-2019
512,3344,germany,2-bundesliga-2007-2008
513,3351,germany,2-bundesliga-2008-2009
514,3358,germany,2-bundesliga-2009-2010
515,3365,germany,2-bundesliga-2010-2011
516,3372,germany,2-bundesliga-2011-2012
517,3378,germany,2-bundesliga-2012-2013
518,3385,germany,2-bundesliga-2013-2014
519,3393,germany,2-bundesliga-2014-2015
520,3400,germany,2-bundesliga-2015-2016
521,3407,germany,2-bundesliga-2016-2017
522,3412,germany,2-bundesliga-2017-2018
523,3420,germany,2-bundesliga-2018-2019
524,3424,germany,2-bundesliga-2019-2020
525,3435,germany,2-bundesliga-2020-2021
526,3438,germany,2-bundesliga-2021-2022
527,3449,germany,3-liga-2008-2009
528,3460,germany,3-liga-2009-2010
529,3457,germany,3-liga-2010-2011
530,3463,germany,3-liga-2011-2012
531,3472,germany,3-liga-2012-2013
532,3478,germany,3-liga-2013-2014
533,3486,germany,3-liga-2014-2015
534,3507,germany,3-liga-2015-2016
535,3499,germany,3-liga-2016-2017
536,3508,germany,3-liga-2017-2018
537,3514,germany,3-liga-2018-2019
538,3524,germany,3-liga-2019-2020
539,3532,germany,3-liga-2020-2021
540,3546,germany,3-liga-2021-2022
541,3239,germany,bundesliga-2007-2008
542,3246,germany,bundesliga-2008-2009
543,3253,germany,bundesliga-2009-2010
544,3258,germany,bundesliga-2010-2011
545,3267,germany,bundesliga-2011-2012
546,3274,germany,bundesliga-2012-2013
547,3281,germany,bundesliga-2013-2014
548,3288,germany,bundesliga-2014-2015
549,3295,germany,bundesliga-2015-2016
550,3302,germany,bundesliga-2016-2017
551,3309,germany,bundesliga-2017-2018
552,3316,germany,bundesliga-2018-2019
553,3322,germany,bundesliga-2019-2020
554,3329,germany,bundesliga-2020-2021
555,3337,germany,bundesliga-2021-2022
556,3892,germany,regionalliga-bayern-2014-2015
557,3899,germany,regionalliga-bayern-2015-2016
558,3906,germany,regionalliga-bayern-2016-2017
559,3913,germany,regionalliga-bayern-2017-2018
560,3917,germany,regionalliga-bayern-2018-2019
561,3928,germany,regionalliga-bayern-2019-2021
562,3933,germany,regionalliga-bayern-2021-2022
563,3723,germany,regionalliga-nordost-2014-2015
564,3728,germany,regionalliga-nordost-2015-2016
565,3735,germany,regionalliga-nordost-2016-2017
566,3736,germany,regionalliga-nordost-2017-2018
567,3748,germany,regionalliga-nordost-2018-2019
568,3749,germany,regionalliga-nordost-2019-2020
569,3761,germany,regionalliga-nordost-2020-2021
570,3764,germany,regionalliga-nordost-2021-2022
571,3673,germany,regionalliga-north-2014-2015
572,3680,germany,regionalliga-north-2015-2016
573,3681,germany,regionalliga-north-2016-2017
574,3684,germany,regionalliga-north-2017-2018
575,3690,germany,regionalliga-north-2018-2019
576,3701,germany,regionalliga-north-2019-2020
577,3711,germany,regionalliga-north-2020-2021
578,3715,germany,regionalliga-north-2021-2022
579,3836,germany,regionalliga-sudwest-2014-2015
580,3843,germany,regionalliga-sudwest-2015-2016
581,3850,germany,regionalliga-sudwest-2016-2017
582,3857,germany,regionalliga-sudwest-2017-2018
583,3864,germany,regionalliga-sudwest-2018-2019
584,3870,germany,regionalliga-sudwest-2019-2020
585,3876,germany,regionalliga-sudwest-2020-2021
586,3885,germany,regionalliga-sudwest-2021-2022
587,3772,germany,regionalliga-west-2014-2015
588,3774,germany,regionalliga-west-2015-2016
589,3786,germany,regionalliga-west-2016-2017
590,3793,germany,regionalliga-west-2017-2018
591,3807,germany,regionalliga-west-2018-2019
592,3814,germany,regionalliga-west-2019-2020
593,3819,germany,regionalliga-west-2020-2021
594,3828,germany,regionalliga-west-2021-2022
595,4045,greece,football-league-2017-2018
596,4054,greece,football-league-2018-2019
597,4050,greece,football-league-2019-2020
598,4059,greece,football-league-2020-2021
599,4027,greece,super-league-2-2019-2020
600,4030,greece,super-league-2-2020-2021
601,4034,greece,super-league-2-2021-2022
602,3941,greece,super-league-2007-2008
603,3947,greece,super-league-2008-2009
604,3953,greece,super-league-2009-2010
605,3959,greece,super-league-2010-2011
606,3976,greece,super-league-2011-2012
607,3963,greece,super-league-2012-2013
608,3967,greece,super-league-2013-2014
609,3977,greece,super-league-2014-2015
610,3978,greece,super-league-2015-2016
611,3986,greece,super-league-2016-2017
612,3991,greece,super-league-2017-2018
613,3997,greece,super-league-2018-2019
614,4010,greece,super-league-2019-2020
615,4000,greece,super-league-2020-2021
616,4001,greece,super-league-2021-2022
617,4063,guatemala,liga-nacional-2018-2019
618,4069,guatemala,liga-nacional-2019-2020
619,4074,guatemala,liga-nacional-2020-2021
620,4079,guatemala,liga-nacional-2021-2022
621,4085,honduras,liga-nacional-2016-2017
622,4089,honduras,liga-nacional-2017-2018
623,4091,honduras,liga-nacional-2018-2019
624,4098,honduras,liga-nacional-2019-2020
625,4102,honduras,liga-nacional-2020-2021
626,4106,honduras,liga-nacional-2021-2022
627,4110,hong-kong,premier-league-2016-2017
628,4113,hong-kong,premier-league-2017-2018
629,4115,hong-kong,premier-league-2018-2019
630,4117,hong-kong,premier-league-2019-2020
631,4119,hong-kong,premier-league-2020-2021
632,4121,hong-kong,premier-league-2021-2022
633,4170,hungary,merkantil-bank-liga-2018-2019
634,4178,hungary,merkantil-bank-liga-2019-2020
635,4184,hungary,merkantil-bank-liga-2020-2021
636,4192,hungary,merkantil-bank-liga-2021-2022
637,4122,hungary,otp-bank-liga-2011-2012
638,4127,hungary,otp-bank-liga-2012-2013
639,4158,hungary,otp-bank-liga-2013-2014
640,4132,hungary,otp-bank-liga-2014-2015
641,4137,hungary,otp-bank-liga-2015-2016
642,4141,hungary,otp-bank-liga-2016-2017
643,4145,hungary,otp-bank-liga-2017-2018
644,4149,hungary,otp-bank-liga-2018-2019
645,4166,hungary,otp-bank-liga-2019-2020
646,4151,hungary,otp-bank-liga-2020-2021
647,4154,hungary,otp-bank-liga-2021-2022
648,4239,iceland,besta-deild-karla-2022
649,4241,iceland,division-1-2015
650,4244,iceland,inkasso-deildin-2016
651,4247,iceland,inkasso-deildin-2017
652,4257,iceland,inkasso-deildin-2018
653,4250,iceland,inkasso-deildin-2019
654,4253,iceland,inkasso-deildin-2020
655,4256,iceland,inkasso-deildin-2021
656,4262,iceland,lengjudeildin-2022
657,4200,iceland,pepsideild-2009
658,4203,iceland,pepsideild-2010
659,4205,iceland,pepsideild-2011
660,4207,iceland,pepsideild-2012
661,4210,iceland,pepsideild-2013
662,4213,iceland,pepsideild-2014
663,4226,iceland,pepsideild-2015
664,4217,iceland,pepsideild-2016
665,4221,iceland,pepsideild-2017
666,4223,iceland,pepsideild-2018
667,4227,iceland,pepsideild-2019
668,4231,iceland,pepsideild-2020
669,4235,iceland,pepsideild-2021
670,4278,india,i-league-2014-2015
671,4281,india,i-league-2015-2016
672,4283,india,i-league-2016-2017
673,4285,india,i-league-2017-2018
674,4287,india,i-league-2018-2019
675,4290,india,i-league-2019-2020
676,4291,india,i-league-2020-2021
677,4294,india,i-league-2021-2022
678,4264,india,isl-2016
679,4266,india,isl-2017-2018
680,4268,india,isl-2018-2019
681,4270,india,isl-2019-2020
682,4275,india,isl-2020-2021
683,4271,india,isl-2021-2022
684,4300,indonesia,isc-2016
685,4301,indonesia,liga-1-2017
686,4305,indonesia,liga-1-2018
687,4329,indonesia,liga-1-2019
688,4311,indonesia,liga-1-2020
689,4312,indonesia,liga-1-2021-2022
690,4342,iran,persian-gulf-pro-league-2016-2017
691,4347,iran,persian-gulf-pro-league-2017-2018
692,4352,iran,persian-gulf-pro-league-2018-2019
693,4357,iran,persian-gulf-pro-league-2019-2020
694,4362,iran,persian-gulf-pro-league-2020-2021
695,4365,iran,persian-gulf-pro-league-2021-2022
696,4433,ireland,division-1-2010
697,4437,ireland,division-1-2011
698,4441,ireland,division-1-2012
699,4444,ireland,division-1-2013
700,4447,ireland,division-1-2014
701,4460,ireland,division-1-2015
702,4450,ireland,division-1-2016
703,4453,ireland,division-1-2017
704,4456,ireland,division-1-2018
705,4466,ireland,division-1-2019
706,4459,ireland,division-1-2020
707,4463,ireland,division-1-2021
708,4470,ireland,division-1-2022
709,4372,ireland,premier-division-2008
710,4376,ireland,premier-division-2009
